delta X,delta width (geo),delta volume (appGeo)
-0.5,0.00778095,-5.000000000000000e-01
-4.900000000000000e-01,7.628297631790071e-03,-4.900000000000000e-01
-4.800000000000000e-01,7.475524272813061e-03,-4.800000000000000e-01
-4.700000000000000e-01,7.322633529151634e-03,-4.700000000000000e-01
-4.600000000000000e-01,7.169625172840810e-03,-4.600000000000001e-01
-4.500000000000000e-01,7.016498975195962e-03,-4.499999999999998e-01
-4.400000000000000e-01,6.863254706811039e-03,-4.399999999999998e-01
-4.300000000000000e-01,6.709892137553908e-03,-4.299999999999999e-01
-4.200000000000000e-01,6.556411036564125e-03,-4.199999999999998e-01
-4.100000000000000e-01,6.402811172249834e-03,-4.100000000000000e-01
-4.000000000000000e-01,6.249092312283100e-03,-4.000000000000000e-01
-3.900000000000000e-01,6.095254223599245e-03,-3.899999999999999e-01
-3.800000000000000e-01,5.941296672390628e-03,-3.800000000000001e-01
-3.700000000000000e-01,5.787219424105317e-03,-3.699999999999999e-01
-3.600000000000000e-01,5.633022243443531e-03,-3.600000000000000e-01
-3.500000000000000e-01,5.478704894353870e-03,-3.500000000000000e-01
-3.400000000000000e-01,5.324267140030425e-03,-3.400000000000000e-01
-3.300000000000000e-01,5.169708742909451e-03,-3.300000000000001e-01
-3.200000000000000e-01,5.015029464664256e-03,-3.200000000000001e-01
-3.100000000000000e-01,4.860229066205424e-03,-3.100000000000002e-01
-3.000000000000000e-01,4.705307307673934e-03,-3.000000000000000e-01
-2.900000000000000e-01,4.550263948438937e-03,-2.899999999999999e-01
-2.800000000000000e-01,4.395098747095316e-03,-2.800000000000000e-01
-2.700000000000000e-01,4.239811461458576e-03,-2.699999999999999e-01
-2.600000000000000e-01,4.084401848562624e-03,-2.600000000000001e-01
-2.500000000000000e-01,3.928869664655776e-03,-2.500000000000000e-01
-2.400000000000000e-01,3.773214665196756e-03,-2.400000000000000e-01
-2.300000000000000e-01,3.617436604852253e-03,-2.300000000000000e-01
-2.200000000000000e-01,3.461535237492042e-03,-2.200000000000000e-01
-2.100000000000000e-01,3.305510316186533e-03,-2.100000000000001e-01
-2.000000000000000e-01,3.149361593202116e-03,-2.000000000000000e-01
-1.900000000000000e-01,2.993088819998713e-03,-1.899999999999998e-01
-1.800000000000000e-01,2.836691747225561e-03,-1.799999999999999e-01
-1.700000000000000e-01,2.680170124717218e-03,-1.700000000000000e-01
-1.600000000000000e-01,2.523523701489339e-03,-1.600000000000000e-01
-1.500000000000000e-01,2.366752225737123e-03,-1.500000000000000e-01
-1.400000000000000e-01,2.209855444829767e-03,-1.399999999999999e-01
-1.300000000000000e-01,2.052833105306462e-03,-1.300000000000001e-01
-1.200000000000000e-01,1.895684952874177e-03,-1.199999999999999e-01
-1.100000000000000e-01,1.738410732402551e-03,-1.099999999999999e-01
-1.000000000000000e-01,1.581010187920784e-03,-9.999999999999987e-02
-9.000000000000000e-02,1.423483062612529e-03,-8.999999999999997e-02
-8.000000000000000e-02,1.265829098814564e-03,-7.999999999999996e-02
-7.000000000000001e-02,1.108048038010123e-03,-6.999999999999995e-02
-6.000000000000000e-02,9.501396208262403e-04,-6.000000000000016e-02
-5.000000000000000e-02,7.921035870304127e-04,-5.000000000000027e-02
-4.000000000000000e-02,6.339396755250526e-04,-3.999999999999992e-02
-3.000000000000000e-02,4.756476243454877e-04,-3.000000000000003e-02
